iso,country,corruption,economy,press
ALB,Albania,39,7.54,60.019999999999996
DZA,Algeria,34,4.84,48.25
AGO,Angola,18,5.4,50.05
ARG,Argentina,36,4.88,64.85
ARM,Armenia,33,7.6,61.14999999999999
AUS,Australia,79,7.99,72.1
AUT,Austria,75,7.66,76.75999999999999
AZE,Azerbaijan,30,6.38,32.05
BHR,Bahrain,43,7.38,35.08
BGD,Bangladesh,26,6.32,44.0
BEL,Belgium,77,7.44,75.75999999999999
BEN,Benin,36,5.77,60.97
BTN,Bhutan,65,7.11,59.209999999999994
BOL,Bolivia,33,6.03,58.16
BIH,Bosnia and Herzegovina,39,6.61,61.489999999999995
BWA,Botswana,60,7.37,67.03
BRA,Brazil,40,5.75,57.31999999999999
BRN,Brunei Darussalam,58,6.76,36.08999999999999
BGR,Bulgaria,41,7.39,55.47999999999999
BFA,Burkina Faso,42,5.87,67.28
BDI,Burundi,20,6.08,35.83999999999999
CIV,Ivory Coast,34,5.88,59.769999999999996
KHM,Cambodia,21,7.21,49.239999999999995
CMR,Cameroon,26,5.92,49.41
CAN,Canada,82,7.94,74.67999999999999
CPV,Cape Verde,59,6.66,70.11999999999999
CAF,Central African Republic,20,4.62,56.33999999999999
TCD,Chad,20,5.26,49.349999999999994
CHL,Chile,66,7.77,70.71
CHN,China,40,6.4,8.98
COL,Colombia,37,6.4,45.83
CRI,Costa Rica,58,7.52,78.84
HRV,Croatia,49,7.02,62.03
CYP,Cyprus,55,7.79,71.67999999999999
CZE,Czech Republic,55,7.46,73.28
DNK,Denmark,90,7.77,81.05
DOM,Dominican Republic,31,7.21,62.03999999999999
ECU,Ecuador,31,5.88,56.72999999999999
EGY,Egypt,34,5.73,35.489999999999995
SLV,El Salvador,36,7.13,62.739999999999995
EST,Estonia,70,7.95,75.63
ETH,Ethiopia,34,5.53,44.80999999999999
FIN,Finland,89,7.75,81.35
FRA,France,69,7.33,66.11
GAB,Gabon,35,5.76,57.739999999999995
GMB,Gambia,26,7.24,43.41
GEO,Georgia,57,8.01,61.97999999999999
DEU,Germany,81,7.69,75.14
GHA,Ghana,43,6.53,71.99
GRC,Greece,44,6.36,59.58999999999999
GTM,Guatemala,28,7.69,51.91
GIN,Guinea,27,5.75,56.86
GNB,Guinea-Bissau,16,5.65,60.91
GUY,Guyana,34,6.45,62.86999999999999
HTI,Haiti,20,6.53,65.28
HND,Honduras,30,7.3,45.31999999999999
HKG,Hong Kong,77,8.97,61.44
HUN,Hungary,48,7.3,61.769999999999996
ISL,Iceland,78,7.23,74.64
IND,India,40,6.63,46.769999999999996
IDN,Indonesia,37,7.0,48.22
IRN,Islamic Republic of Iran,29,5.31,23.419999999999998
IRL,Ireland,73,8.19,77.53999999999999
ISR,Israel,64,7.49,57.36
ITA,Italy,47,7.3,61.00999999999999
JAM,Jamaica,39,7.3,77.49
JPN,Japan,72,7.47,61.269999999999996
JOR,Jordan,48,7.47,45.44999999999999
KAZ,Kazakhstan,29,7.18,35.39
KEN,Kenya,26,7.11,58.78
KOR,South Korea,53,7.54,61.36
KWT,Kuwait,41,6.62,57.349999999999994
KGZ,Kyrgyzstan,28,6.89,59.78
LAO,Lao People's Democratic Republic,30,6.98,18.359999999999996
LVA,Latvia,57,7.75,72.56
LBN,Lebanon,28,6.91,57.989999999999995
LSO,Lesotho,39,6.58,61.16
LBR,Liberia,37,6.8,59.22999999999999
LBY,Libya,14,4.95,32.05
LTU,Lithuania,59,7.92,69.99
LUX,Luxembourg,81,7.63,75.50999999999999
MDG,Madagascar,26,6.44,62.89999999999999
MWI,Malawi,31,5.86,61.81999999999999
MYS,Malaysia,49,7.19,43.36999999999999
MLI,Mali,32,5.9,50.11
MLT,Malta,55,7.7,66.1
MRT,Mauritania,27,5.56,65.91
MUS,Mauritius,54,8.04,62.25
MEX,Mexico,30,6.95,40.61
MDA,Moldova,30,6.56,61.11
MNG,Mongolia,38,7.43,62.33
MNE,Montenegro,45,6.77,57.14999999999999
MAR,Morocco,37,6.29,47.3
MOZ,Mozambique,27,5.62,59.69
MMR,Myanmar,28,5.26,44.459999999999994
NAM,Namibia,52,6.76,74.78999999999999
NPL,Nepal,29,6.49,57.31999999999999
NLD,Netherlands,83,7.74,81.17999999999999
NZL,New Zealand,90,8.48,79.92999999999999
NIC,Nicaragua,26,7.28,61.11999999999999
NER,Niger,35,5.74,65.32
NGA,Nigeria,28,6.38,54.03999999999999
NOR,Norway,85,7.67,81.15
OMN,Oman,45,6.62,49.50999999999999
PAK,Pakistan,32,5.93,41.41999999999999
PAN,Panama,38,7.59,59.349999999999994
PNG,Papua New Guinea,28,6.42,64.13
PRY,Paraguay,30,6.91,56.30999999999999
PER,Peru,35,7.44,59.95
PHL,Philippines,35,7.47,45.28
POL,Poland,62,7.34,66.05
PRT,Portugal,62,7.53,72.67
QAT,Qatar,61,7.43,53.97
COG,Congo,20,4.81,54.099999999999994
ROU,Romania,48,7.72,65.64999999999999
RUS,Russian Federation,29,6.6,40.91
RWA,Rwanda,54,7.57,35.33
SAU,Saudi Arabia,46,6.24,30.219999999999995
SEN,Senegal,45,6.16,61.95
SRB,Serbia,42,6.75,62.33999999999999
SLE,Sierra Leone,30,5.78,60.0
SGP,Singapore,84,8.81,36.97999999999999
SVK,Slovakia,51,7.31,76.67999999999999
SVN,Slovenia,61,7.0,67.67999999999999
ZAF,South Africa,45,6.63,68.02
ESP,Spain,58,7.51,70.02
LKA,Sri Lanka,36,6.65,44.97999999999999
SUR,Suriname,45,6.67,73.24
SWE,Sweden,88,7.65,77.61
CHE,Switzerland,86,8.44,78.17999999999999
SYR,Syrian Arab Republic,13,5.22,8.59
TWN,Taiwan,61,7.7,65.57
TJK,Tajikistan,25,6.8,39.599999999999994
TZA,Tanzania,32,6.92,61.28999999999999
THA,Thailand,35,6.75,45.41
COD,The Democratic Republic Of The Congo,21,5.45,38.97
MKD,Macedonia,37,7.17,53.849999999999994
USA,United States,74,7.94,67.45
TLS,East Timor,35,6.29,57.91999999999999
TGO,Togo,32,5.7,59.629999999999995
TTO,Trinidad and Tobago,35,6.5,66.64999999999999
TUN,Tunisia,41,6.32,58.33999999999999
TUR,Turkey,41,6.82,39.17999999999999
UGA,Uganda,25,7.25,57.36
UKR,Ukraine,29,5.38,57.00999999999999
ARE,United Arab Emirates,66,7.5,53.209999999999994
GBR,United Kingdom,81,8.05,68.24
URY,Uruguay,71,7.16,74.06
VEN,Venezuela,17,2.92,45.16999999999999
VNM,Vietnam,33,6.3,15.669999999999998
YEM,Yemen,14,6.17,22.87
ZMB,Zambia,38,6.75,54.86
ZWE,Zimbabwe,22,5.61,49.53
